Sample description: b'Au'
Sample: b'Au'  c= 0 mg/ml  Code: 
Parent(s): /mxn/home/cosaxs-user/data-visitors/20240016/2025012112/process/scan-86116_eiger.dat /mxn/home/cosaxs-user/data-visitors/20240016/2025012112/process/scan-86118_eiger.dat
  5.396723e-05   0.000000e+00   0.000000e+00
  1.250298e-04   0.000000e+00   0.000000e+00
  1.960925e-04   0.000000e+00   0.000000e+00
  2.671551e-04   0.000000e+00   0.000000e+00
  3.382177e-04   0.000000e+00   0.000000e+00
  4.092803e-04   0.000000e+00   0.000000e+00
  4.803429e-04   0.000000e+00   0.000000e+00
  5.514055e-04   0.000000e+00   0.000000e+00
  6.224682e-04   0.000000e+00   0.000000e+00
  6.935308e-04   0.000000e+00   0.000000e+00
  7.645934e-04   0.000000e+00   0.000000e+00
  8.356560e-04   0.000000e+00   0.000000e+00
  9.067186e-04   1.493214e+02   1.269660e+00
  9.777812e-04   1.480622e+02   6.857741e-01
  1.048844e-03   1.460704e+02   5.482777e-01
  1.119906e-03   1.461189e+02   4.838301e-01
  1.190969e-03   1.454012e+02   4.404780e-01
  1.262032e-03   1.456454e+02   4.125061e-01
  1.333094e-03   1.448733e+02   3.866037e-01
  1.404157e-03   1.449887e+02   3.666136e-01
  1.475220e-03   1.434471e+02   3.474918e-01
  1.546282e-03   1.427141e+02   3.343546e-01
  1.617345e-03   1.422574e+02   3.220757e-01
  1.688407e-03   1.414646e+02   3.089994e-01
  1.759470e-03   1.412712e+02   2.993419e-01
  1.830533e-03   1.411652e+02   2.914904e-01
  1.901595e-03   1.403750e+02   2.831651e-01
  1.972658e-03   1.396124e+02   2.733560e-01
  2.043720e-03   1.390297e+02   2.662204e-01
  2.114783e-03   1.388738e+02   2.614739e-01
  2.185846e-03   1.382751e+02   2.555129e-01
  2.256908e-03   1.380981e+02   2.488868e-01
  2.327971e-03   1.375412e+02   2.436162e-01
  2.399034e-03   1.370500e+02   2.394922e-01
  2.470096e-03   1.365625e+02   2.348548e-01
  2.541159e-03   1.357765e+02   2.289640e-01
  2.612221e-03   1.358487e+02   2.254026e-01
  2.683284e-03   1.350245e+02   2.218441e-01
  2.754347e-03   1.344864e+02   2.181218e-01
  2.825409e-03   1.340235e+02   2.138426e-01
  2.896472e-03   1.333850e+02   2.102447e-01
  2.967534e-03   1.332726e+02   2.079545e-01
  3.038597e-03   1.327938e+02   2.044050e-01
  3.109660e-03   1.326740e+02   2.010526e-01
  3.180722e-03   1.316843e+02   1.978408e-01
  3.251785e-03   1.312405e+02   1.958864e-01
  3.322848e-03   1.308255e+02   1.929167e-01
  3.393910e-03   1.302191e+02   1.895979e-01
  3.464973e-03   1.298366e+02   1.871709e-01
  3.536035e-03   1.294760e+02   1.854758e-01
  3.607098e-03   1.285606e+02   1.824856e-01
  3.678161e-03   1.283688e+02   1.800324e-01
  3.749223e-03   1.277622e+02   1.777871e-01
  3.820286e-03   1.273716e+02   1.774355e-01
  3.891348e-03   1.263775e+02   1.790305e-01
  3.962411e-03   1.262179e+02   1.795684e-01
  4.033474e-03   1.253071e+02   1.796557e-01
  4.104536e-03   1.245532e+02   1.793970e-01
  4.175599e-03   1.242271e+02   1.788693e-01
